1780695297.841664 78 34 0 0 0
1780695297.841748 79 41 0 0 0
1780695297.841813 80 45 0 0 0
1780695297.841877 81 20 0 0 0
1780695297.84194 82 -6 0 0 0
1780695297.842011 83 5 0 0 0
1780695297.8420732 84 26 0 0 0
1780695297.8421419 85 39 0 0 0
1780695297.842207 86 64 0 0 0
1780695297.842269 87 66 0 0 0
1780695297.8720481 88 44 0 0 0
1780695297.872129 89 39 0 0 0
1780695297.872192 90 45 0 0 0
1780695297.8722508 91 33 0 0 0
1780695297.872312 92 9 0 0 0
1780695297.87237 93 3 0 0 0
1780695297.8724291 94 8 0 0 0
1780695297.872489 95 20 0 0 0
1780695297.8725471 96 20 0 0 0
1780695297.872614 97 23 0 0 0
1780695297.874229 98 16 0 0 0
1780695297.8742988 99 7 0 0 0
1780695297.874361 0 11 0 0 0
1780695297.874421 1 25 0 0 0
1780695297.87448 2 39 0 0 0
1780695297.87454 3 22 0 0 0
1780695297.8746 4 0 0 0 0
1780695297.87466 5 -7 0 0 0
1780695297.874719 6 -6 0 0 0
1780695297.874779 7 -2 0 0 0
1780695297.925972 8 5 0 0 0
1780695297.926045 9 23 0 0 0
1780695297.926107 10 22 0 0 0
1780695297.9261692 11 23 0 0 0
1780695297.92623 12 28 0 0 0
1780695297.9262888 13 35 0 0 0
1780695297.926347 14 34 0 0 0
1780695297.9264052 15 42 0 0 0
1780695297.926463 16 54 0 0 0
1780695297.926521 17 34 0 0 0
1780695297.9298198 18 21 0 0 0
1780695297.929882 19 21 0 0 0
1780695297.92994 20 18 0 0 0
1780695297.9299982 21 7 0 0 0
1780695297.930072 22 -1 0 0 0
1780695297.93014 23 7 0 0 0
1780695297.930207 24 27 0 0 0
1780695297.9302652 25 35 0 0 0
1780695297.930323 26 17 0 0 0
1780695297.930381 27 9 0 0 0
1780695297.9318972 28 19 0 0 0
1780695297.931963 29 32 0 0 0
1780695297.932031 30 33 0 0 0
1780695297.9320939 31 26 0 0 0
1780695297.932152 32 33 0 0 0
1780695297.932211 33 36 0 0 0
1780695297.932269 34 45 0 0 0
1780695297.9323258 35 52 0 0 0
1780695297.932385 36 38 0 0 0
1780695297.932443 37 24 0 0 0
1780695297.9616928 38 27 0 0 0
1780695297.961767 39 50 0 0 0
1780695297.961963 40 52 0 0 0
1780695297.962045 41 27 0 0 0
1780695297.962104 42 5 0 0 0
1780695297.9622002 43 1 0 0 0
1780695297.962259 44 5 0 0 0
1780695297.962317 45 16 0 0 0
1780695297.962375 46 18 0 0 0
1780695297.962432 47 22 0 0 0
1780695297.965309 48 55 0 0 0
1780695297.965373 49 72 0 0 0
1780695297.9654331 50 55 0 0 0
1780695297.965491 51 45 0 0 0
1780695297.9655502 52 49 0 0 0
