1780695584.151041 34 -46 0 0 0
1780695584.151106 35 -42 0 0 0
1780695584.1511538 36 -28 0 0 0
1780695584.151201 37 -29 0 0 0
1780695584.151245 38 -41 0 0 0
1780695584.1512902 39 -53 0 0 0
1780695584.1513338 40 -50 0 0 0
1780695584.151383 41 -34 0 0 0
1780695584.151433 42 -27 0 0 0
1780695584.151476 43 -28 0 0 0
1780695584.1515179 44 -29 0 0 0
1780695584.151561 45 -40 0 0 0
1780695584.151605 46 -54 0 0 0
1780695584.151649 47 -53 0 0 0
1780695584.151691 48 -45 0 0 0
1780695584.204119 49 -44 0 0 0
1780695584.2041988 50 -38 0 0 0
1780695584.204274 51 -34 0 0 0
1780695584.204345 52 -33 0 0 0
1780695584.204405 53 -24 0 0 0
1780695584.204465 54 -13 0 0 0
1780695584.204524 55 -12 0 0 0
1780695584.204584 56 -18 0 0 0
1780695584.204643 57 -23 0 0 0
1780695584.204702 58 -24 0 0 0
1780695584.206996 59 -19 0 0 0
1780695584.207068 60 -17 0 0 0
1780695584.207129 61 -18 0 0 0
1780695584.207189 62 -20 0 0 0
1780695584.207247 63 -19 0 0 0
1780695584.207306 64 -23 0 0 0
1780695584.2073731 65 -34 0 0 0
1780695584.207445 66 -29 0 0 0
1780695584.207506 67 -19 0 0 0
1780695584.207565 68 -21 0 0 0
1780695584.209475 69 -37 0 0 0
1780695584.209536 70 -37 0 0 0
1780695584.209594 71 -36 0 0 0
1780695584.209652 72 -37 0 0 0
1780695584.209711 73 -21 0 0 0
1780695584.20977 74 -10 0 0 0
1780695584.2098298 75 -17 0 0 0
1780695584.209889 76 -18 0 0 0
1780695584.2099462 77 -20 0 0 0
1780695584.210005 78 -28 0 0 0
1780695584.240844 79 -34 0 0 0
1780695584.240915 80 -21 0 0 0
1780695584.2409759 81 -7 0 0 0
1780695584.2410371 82 -17 0 0 0
1780695584.241098 83 -29 0 0 0
1780695584.241156 84 -33 0 0 0
1780695584.241216 85 -35 0 0 0
1780695584.2412748 86 -45 0 0 0
1780695584.241337 87 -51 0 0 0
1780695584.241395 88 -51 0 0 0
1780695584.243253 89 -44 0 0 0
1780695584.243314 90 -34 0 0 0
1780695584.2433732 91 -21 0 0 0
1780695584.243448 92 -17 0 0 0
1780695584.243507 93 -27 0 0 0
1780695584.243565 94 -44 0 0 0
1780695584.243624 95 -41 0 0 0
1780695584.2436821 96 -28 0 0 0
1780695584.2437398 97 -26 0 0 0
1780695584.2438002 98 -26 0 0 0
1780695584.277228 99 -29 0 0 0
1780695584.2773 0 -22 0 0 0
1780695584.277363 1 -20 0 0 0
1780695584.277447 2 -29 0 0 0
1780695584.277523 3 -33 0 0 0
1780695584.2775831 4 -26 0 0 0
1780695584.2776582 5 -17 0 0 0
1780695584.277719 6 -13 0 0 0
1780695584.277777 7 -26 0 0 0
1780695584.2778509 8 -51 0 0 0
1780695584.281527 9 -56 0 0 0
1780695584.28159 10 -28 0 0 0
1780695584.281675 11 -10 0 0 0
1780695584.281734 12 -21 0 0 0
1780695584.281793 13 -36 0 0 0
1780695584.281852 14 -40 0 0 0
1780695584.28191 15 -51 0 0 0
1780695584.2819688 16 -74 0 0 0
1780695584.2820292 17 -83 0 0 0
1780695584.2820868 18 -74 0 0 0
1780695584.3113432 19 -42 0 0 0
1780695584.311413 20 16 0 0 0
1780695584.311473 21 53 0 0 0
1780695584.311532 22 53 0 0 0
1780695584.3115919 23 40 0 0 0
1780695584.3116522 24 52 0 0 0
1780695584.311711 25 90 0 0 0
1780695584.311769 26 122 0 0 0
1780695584.311831 27 128 0 0 0
1780695584.31189 28 117 0 0 0
1780695584.342124 29 118 0 0 0
1780695584.342186 30 123 0 0 0
1780695584.3422458 31 117 0 0 0
1780695584.342307 32 107 0 0 0
1780695584.342365 33 90 0 0 0
1780695584.342423 34 87 0 0 0
1780695584.342483 35 106 0 0 0
